scope,baseline,candidate_id,scenario,icc,beta,planned_repetitions,estimated_repetitions,estimability_rate,support_count,support_rate,support_wilson_95_low,support_wilson_95_high,positive_support_count,positive_support_rate,positive_support_wilson_95_low,positive_support_wilson_95_high
text,B1_design,configmean_interactions_d4_r10,independent_null,0.3,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,0,0.0,3.469446951953614e-18,0.03699349820698568
text,B1_design,configmean_interactions_d4_r10,independent_null,0.8,0.0,100,100,1.0,2,0.02,0.00550196755016235,0.07001179072854388,1,0.01,0.0017674320641406505,0.054486196178705315
text,B1_design,configmean_interactions_d4_r10,interaction_increment,0.3,0.2,100,100,1.0,14,0.14,0.08526343659939134,0.22137188210963837,14,0.14,0.08526343659939134,0.22137188210963837
text,B1_design,configmean_interactions_d4_r10,interaction_increment,0.3,0.35,100,100,1.0,17,0.17,0.10893566114059931,0.25548004767601123,17,0.17,0.10893566114059931,0.25548004767601123
text,B1_design,configmean_interactions_d4_r10,interaction_increment,0.3,0.5,100,100,1.0,33,0.33,0.24563122734128034,0.4269465620490947,33,0.33,0.24563122734128034,0.4269465620490947
text,B1_design,configmean_interactions_d4_r10,interaction_increment,0.8,0.2,100,100,1.0,16,0.16,0.10095288488804782,0.24420269389270244,16,0.16,0.10095288488804782,0.24420269389270244
text,B1_design,configmean_interactions_d4_r10,interaction_increment,0.8,0.35,100,100,1.0,22,0.22,0.150012823846054,0.31070353514985793,22,0.22,0.150012823846054,0.31070353514985793
text,B1_design,configmean_interactions_d4_r10,interaction_increment,0.8,0.5,100,100,1.0,37,0.37,0.28182360534324524,0.4677947041905709,37,0.37,0.28182360534324524,0.4677947041905709
text,B1_design,configmean_interactions_d4_r10,interaction_proxy_null,0.3,0.0,100,100,1.0,4,0.04,0.01566330399154762,0.0983707143588792,4,0.04,0.01566330399154762,0.0983707143588792
text,B1_design,configmean_interactions_d4_r10,interaction_proxy_null,0.8,0.0,100,100,1.0,4,0.04,0.01566330399154762,0.0983707143588792,4,0.04,0.01566330399154762,0.0983707143588792
text,B1_design,configmean_interactions_d4_r10,nonlinear_proxy_null,0.3,0.0,100,100,1.0,2,0.02,0.00550196755016235,0.07001179072854388,2,0.02,0.00550196755016235,0.07001179072854388
text,B1_design,configmean_interactions_d4_r10,nonlinear_proxy_null,0.8,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,1,0.01,0.0017674320641406505,0.054486196178705315
text,B2_training_state,configmean_extra_trees,additive_proxy_null,0.3,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,0,0.0,3.469446951953614e-18,0.03699349820698568
text,B2_training_state,configmean_extra_trees,additive_proxy_null,0.8,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
text,B2_training_state,configmean_extra_trees,heteroskedastic_proxy_null,0.3,0.0,100,100,1.0,4,0.04,0.01566330399154762,0.0983707143588792,4,0.04,0.01566330399154762,0.0983707143588792
text,B2_training_state,configmean_extra_trees,heteroskedastic_proxy_null,0.8,0.0,100,100,1.0,8,0.08,0.041093461484380624,0.14998107700948735,8,0.08,0.041093461484380624,0.14998107700948735
text,B2_training_state,configmean_extra_trees,independent_null,0.3,0.0,100,100,1.0,2,0.02,0.00550196755016235,0.07001179072854388,1,0.01,0.0017674320641406505,0.054486196178705315
text,B2_training_state,configmean_extra_trees,independent_null,0.8,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,1,0.01,0.0017674320641406505,0.054486196178705315
text,B2_training_state,configmean_extra_trees,interaction_increment,0.3,0.2,100,100,1.0,7,0.07,0.03431926106727268,0.137495147390735,6,0.06,0.027786123963188192,0.1247681544589592
text,B2_training_state,configmean_extra_trees,interaction_increment,0.3,0.35,100,100,1.0,13,0.13,0.07757167427240512,0.20980351440076428,13,0.13,0.07757167427240512,0.20980351440076428
text,B2_training_state,configmean_extra_trees,interaction_increment,0.3,0.5,100,100,1.0,16,0.16,0.10095288488804782,0.24420269389270244,16,0.16,0.10095288488804782,0.24420269389270244
text,B2_training_state,configmean_extra_trees,interaction_increment,0.8,0.2,100,100,1.0,9,0.09,0.04807254000256516,0.1622621285271631,9,0.09,0.04807254000256516,0.1622621285271631
text,B2_training_state,configmean_extra_trees,interaction_increment,0.8,0.35,100,100,1.0,17,0.17,0.10893566114059931,0.25548004767601123,17,0.17,0.10893566114059931,0.25548004767601123
text,B2_training_state,configmean_extra_trees,interaction_increment,0.8,0.5,100,100,1.0,19,0.19,0.12514751509768735,0.27778845379064376,19,0.19,0.12514751509768735,0.27778845379064376
text,B2_training_state,configmean_extra_trees,interaction_proxy_null,0.3,0.0,100,100,1.0,3,0.03,0.010254524024038925,0.0845193642905276,3,0.03,0.010254524024038925,0.0845193642905276
text,B2_training_state,configmean_extra_trees,interaction_proxy_null,0.8,0.0,100,100,1.0,2,0.02,0.00550196755016235,0.07001179072854388,2,0.02,0.00550196755016235,0.07001179072854388
text,B2_training_state,configmean_extra_trees,nonlinear_proxy_null,0.3,0.0,100,100,1.0,2,0.02,0.00550196755016235,0.07001179072854388,2,0.02,0.00550196755016235,0.07001179072854388
text,B2_training_state,configmean_extra_trees,nonlinear_proxy_null,0.8,0.0,100,100,1.0,3,0.03,0.010254524024038925,0.0845193642905276,3,0.03,0.010254524024038925,0.0845193642905276
