repetition,seed,scenario,expected_stable_increment,contains_conditional_increment,configurations,raw_spearman,raw_kendall,partial_spearman,granulated_kendall,granulated_min_axis,jiang_cmi,jiang_cmi_min_conditioning,mbe_additive_residual_r,mbe_additive_p,mbe_additive_delta,mbe_additive_delta_ci_low,mbe_additive_class,mbe_interaction_residual_r,mbe_interaction_p,mbe_interaction_delta,mbe_interaction_delta_ci_low,mbe_interaction_class
9,30350811,independent_null,False,False,27,-0.17704517704517705,-0.11111111111111113,-0.08616913268637783,-0.08641975308641976,-0.1851851851851852,0.007999592157515707,hp_a,0.04822954822954823,0.823,-0.0006771349442528506,-0.0014697926930166254,no-supported-increment,0.20695970695970692,0.314,-0.0007702446707684284,-0.0013590815569095916,no-supported-increment
9,30351820,design_proxy,False,False,27,0.9847374847374847,0.9145299145299146,0.6389422466595848,0.7530864197530865,0.5555555555555556,0.47927148243499906,"hp_a,hp_c",0.8351648351648352,0.001,0.00247577926939232,-0.0004349251970962925,residual-dependence-only,0.6862026862026862,0.001,-0.0008140614689831904,-0.0028461261450787242,residual-dependence-only
9,30352829,interaction_proxy,False,False,27,0.735042735042735,0.5327635327635328,0.34086254588166376,0.2839506172839506,-0.48148148148148145,0.21573443185046706,none,0.8675213675213675,0.001,0.005324968162329748,0.0011170254574928043,increment-supported,0.40964590964590963,0.045,0.0002264153347356218,-0.0008045532087334613,residual-dependence-only
9,30353838,genuine_increment,True,True,27,0.5305250305250305,0.36752136752136755,0.7990241040378828,0.6296296296296297,0.2592592592592593,0.09975512758975899,none,0.9242979242979243,0.001,0.049467337447606244,0.02777941534803448,increment-supported,0.9291819291819291,0.001,0.052221415639951765,0.027785621650881265,increment-supported
9,30354847,axis_specialist_proxy,False,False,27,0.8046398046398046,0.5954415954415955,0.04163278440335899,0.3333333333333333,-0.2592592592592593,0.01284510396926302,hp_a,-0.27472527472527475,0.18,-0.0012542246831633748,-0.002740147621901678,no-supported-increment,-0.21916971916971917,0.258,-0.0016378918726388837,-0.003328050589357752,no-supported-increment
9,30355856,sign_flip_increment,False,True,27,-0.1758241758241758,-0.13960113960113962,-0.2534995379706374,-0.1358024691358025,-0.2592592592592593,0.014103986513193877,none,-0.11355311355311355,0.603,-0.02919701269060021,-0.10165566554048173,no-supported-increment,-0.304029304029304,0.137,0.07141576471500051,0.026905169069287114,predictive-improvement-only
10,30360818,independent_null,False,False,27,-0.15995115995115994,-0.11111111111111113,0.1158554582196182,-0.012345679012345678,-0.3333333333333333,0.008923940161777846,none,0.3559218559218559,0.081,-0.0004383942421113951,-0.0016837540202812103,no-supported-increment,0.19658119658119658,0.322,-0.000992316856439305,-0.0025472735056583764,no-supported-increment
10,30361827,design_proxy,False,False,27,0.9816849816849815,0.9088319088319089,0.5842421814464036,0.7530864197530865,0.6296296296296297,0.4490207866580827,"hp_a,hp_c",0.81013431013431,0.001,0.0036177674804642283,0.0005787235381502501,increment-supported,0.44993894993894995,0.028,-0.0016998531762026613,-0.004131900939569323,residual-dependence-only
10,30362836,interaction_proxy,False,False,27,0.7771672771672772,0.623931623931624,0.48975346985646107,0.45679012345679015,0.1111111111111111,0.20261828136514723,"hp_a,hp_c",0.7118437118437118,0.001,0.008661117870015115,0.0027783562280584008,increment-supported,0.17277167277167274,0.386,0.000952155666908561,-0.0007057600922564702,no-supported-increment
10,30363845,genuine_increment,True,True,27,0.6001221001221001,0.4131054131054132,0.760834829613884,0.43209876543209874,-0.037037037037037014,0.0931070926607576,hp_c,0.8614163614163614,0.001,0.023196403851748718,0.007425940254141069,increment-supported,0.8974358974358974,0.001,0.04286133489857804,0.01982025103071508,increment-supported
