shard,sample_size,repetition,scenario,expected_increment,nuisance_model,residual_p,delta_mse,refit_delta_mse_ci_low,joint_supported,predictive_supported
inference_shard_00,100,17,null_metric,False,polynomial_ridge,0.555,-0.0034095214903784,-0.0062232699912004,False,False
inference_shard_00,100,17,null_metric,False,polynomial_ridge_interactions,0.895,-0.0005680080023942,-0.0036763759285912,False,False
inference_shard_00,100,17,nonlinear_proxy,False,polynomial_ridge,0.8,9.886925839660502e-05,-0.0007107486104686,False,False
inference_shard_00,100,17,nonlinear_proxy,False,polynomial_ridge_interactions,0.55,0.0005663267833511,-0.0002015959186714,False,False
inference_shard_00,100,17,heteroskedastic_null,False,polynomial_ridge,0.385,-0.0002000826442867,-0.0010938931560117,False,False
inference_shard_00,100,17,heteroskedastic_null,False,polynomial_ridge_interactions,0.55,5.385867151158803e-05,-0.000610172302976,False,False
inference_shard_00,100,17,clustered_null,False,polynomial_ridge,0.79,-0.0044550011366686,-0.0824055789522021,False,False
inference_shard_00,100,17,clustered_null,False,polynomial_ridge_interactions,0.595,0.001920234426679,-0.0328847565809855,False,False
inference_shard_00,100,17,genuine_increment,True,polynomial_ridge,0.005,0.0367783149697107,0.0239923746433277,True,True
inference_shard_00,100,17,genuine_increment,True,polynomial_ridge_interactions,0.005,0.0373447127952313,0.0233813649418813,True,True
inference_shard_00,100,18,null_metric,False,polynomial_ridge,0.355,0.0002813156500835,-0.0029665266145,False,False
inference_shard_00,100,18,null_metric,False,polynomial_ridge_interactions,0.085,1.7417407975561794e-05,-0.0017566967652244,False,False
inference_shard_00,100,18,nonlinear_proxy,False,polynomial_ridge,0.27,0.0014538378048326,-0.0003178457742791,False,False
inference_shard_00,100,18,nonlinear_proxy,False,polynomial_ridge_interactions,0.05,-0.0005210983996905,-0.0008296647070932,False,False
inference_shard_00,100,18,heteroskedastic_null,False,polynomial_ridge,0.885,-0.0023471999944712,-0.0030588545143893,False,False
inference_shard_00,100,18,heteroskedastic_null,False,polynomial_ridge_interactions,0.52,-0.0001474692492068,-0.0017660673368381,False,False
inference_shard_00,100,18,clustered_null,False,polynomial_ridge,0.74,-0.0147892580283545,-0.1263701817818739,False,False
inference_shard_00,100,18,clustered_null,False,polynomial_ridge_interactions,0.945,-0.0015060291133238,-0.0781000253455049,False,False
inference_shard_00,100,18,genuine_increment,True,polynomial_ridge,0.005,0.033616895265826,0.0235345913838556,True,True
inference_shard_00,100,18,genuine_increment,True,polynomial_ridge_interactions,0.005,0.0368911826057253,0.0229387682676127,True,True
inference_shard_00,100,19,null_metric,False,polynomial_ridge,0.86,-0.0004221045596975,-0.0035891408539705,False,False
inference_shard_00,100,19,null_metric,False,polynomial_ridge_interactions,0.55,-0.0009446702907425,-0.0018003648158633,False,False
inference_shard_00,100,19,nonlinear_proxy,False,polynomial_ridge,0.045,0.0015502584924699,-0.0002811404937672,False,False
inference_shard_00,100,19,nonlinear_proxy,False,polynomial_ridge_interactions,0.22,0.0011649403190645,-0.0002955640588224,False,False
inference_shard_00,100,19,heteroskedastic_null,False,polynomial_ridge,0.34,-0.0037874704835914,-0.0035048705878579,False,False
inference_shard_00,100,19,heteroskedastic_null,False,polynomial_ridge_interactions,0.86,-0.0003835070165707,-0.0011216914459604,False,False
inference_shard_00,100,19,clustered_null,False,polynomial_ridge,0.71,-0.0020613006399094,-0.0473132769805935,False,False
inference_shard_00,100,19,clustered_null,False,polynomial_ridge_interactions,0.315,-0.0007283227682416,-0.0105028898174504,False,False
inference_shard_00,100,19,genuine_increment,True,polynomial_ridge,0.005,0.0410737351225288,0.0260262954392071,True,True
inference_shard_00,100,19,genuine_increment,True,polynomial_ridge_interactions,0.005,0.0402657580100331,0.0240980430411368,True,True
inference_shard_00,100,20,null_metric,False,polynomial_ridge,0.98,-0.0014762729060286,-0.0047199475666925,False,False
inference_shard_00,100,20,null_metric,False,polynomial_ridge_interactions,0.875,-0.0015906300360671,-0.0017272722507796,False,False
inference_shard_00,100,20,nonlinear_proxy,False,polynomial_ridge,0.37,-0.0004467907378385,-0.0021093819381451,False,False
inference_shard_00,100,20,nonlinear_proxy,False,polynomial_ridge_interactions,0.795,-7.558195119707154e-05,-0.0005377872029737,False,False
inference_shard_00,100,20,heteroskedastic_null,False,polynomial_ridge,0.74,-0.000872704824139,-0.0026627332630393,False,False
inference_shard_00,100,20,heteroskedastic_null,False,polynomial_ridge_interactions,0.64,-0.0004651565442946,-0.0015923269667025,False,False
inference_shard_00,100,20,clustered_null,False,polynomial_ridge,0.18,0.0035829562023144,-0.0466059802711393,False,False
inference_shard_00,100,20,clustered_null,False,polynomial_ridge_interactions,0.41,-0.0118320087936616,-0.0505459168329012,False,False
inference_shard_00,100,20,genuine_increment,True,polynomial_ridge,0.02,0.0328834524743534,0.024303829950379,True,True
inference_shard_00,100,20,genuine_increment,True,polynomial_ridge_interactions,0.015,0.033083274553784,0.0224723901076609,True,True
