shard,structure,repetition,independence_units,residual_r,residual_p,rejected_05
inference_shard_00,homoskedastic,218,200,-0.0067786694667366,0.935,False
inference_shard_00,homoskedastic,219,200,0.0821690850405386,0.257,False
inference_shard_00,homoskedastic,220,200,0.0836225905647641,0.232,False
inference_shard_00,homoskedastic,221,200,-0.0647326183154579,0.353,False
inference_shard_00,homoskedastic,222,200,0.140312007800195,0.059,False
inference_shard_00,homoskedastic,223,200,0.0400330008250206,0.548,False
inference_shard_00,homoskedastic,224,200,-0.0781205116031957,0.263,False
inference_shard_00,homoskedastic,225,200,0.0019245481137028,0.983,False
inference_shard_00,homoskedastic,226,200,-0.080974304722988,0.252,False
inference_shard_00,homoskedastic,227,200,0.0377829587425807,0.602,False
inference_shard_00,homoskedastic,228,200,-0.0143231134490047,0.825,False
inference_shard_00,homoskedastic,229,200,0.0518262956573914,0.502,False
inference_shard_00,homoskedastic,230,200,-0.0314940609720788,0.687,False
inference_shard_00,homoskedastic,231,200,-0.0433653503957693,0.551,False
inference_shard_00,homoskedastic,232,200,-0.0304402610065251,0.687,False
inference_shard_00,homoskedastic,233,200,-0.0296857644084335,0.685,False
inference_shard_00,homoskedastic,234,200,-0.0960310088101119,0.184,False
inference_shard_00,homoskedastic,235,200,0.0368244206105152,0.601,False
inference_shard_00,homoskedastic,236,200,0.0952268806720168,0.197,False
inference_shard_00,homoskedastic,237,200,0.0856394873316607,0.225,False
inference_shard_00,homoskedastic,238,200,-0.0171611854650823,0.831,False
inference_shard_00,homoskedastic,239,200,-0.0958840409270845,0.176,False
inference_shard_00,homoskedastic,240,200,0.0422973232945815,0.569,False
inference_shard_00,homoskedastic,241,200,0.0681924803841945,0.324,False
inference_shard_00,homoskedastic,242,200,0.0515652891322283,0.49,False
inference_shard_00,homoskedastic,243,200,-0.1344183604590115,0.043,True
inference_shard_00,homoskedastic,244,200,0.0240561104238037,0.735,False
inference_shard_00,homoskedastic,245,200,0.0125418182486389,0.855,False
inference_shard_00,homoskedastic,246,200,0.0455621561397152,0.523,False
inference_shard_00,homoskedastic,247,200,0.0684114859414605,0.341,False
inference_shard_00,homoskedastic,248,200,0.0681182285000529,0.328,False
inference_shard_00,homoskedastic,249,200,0.0973209330233255,0.184,False
inference_shard_00,heteroskedastic,0,200,-0.0472939500839867,0.504,False
inference_shard_00,heteroskedastic,1,200,0.0900802857872582,0.221,False
inference_shard_00,heteroskedastic,2,200,0.0526738168454211,0.464,False
inference_shard_00,heteroskedastic,3,200,0.020426018310216,0.78,False
inference_shard_00,heteroskedastic,4,200,-0.1251999269481551,0.093,False
inference_shard_00,heteroskedastic,5,200,0.0175309382734568,0.801,False
inference_shard_00,heteroskedastic,6,200,-0.0383259725215554,0.563,False
inference_shard_00,heteroskedastic,7,200,0.0710147753693842,0.332,False
inference_shard_00,heteroskedastic,8,200,-0.0446861171529288,0.544,False
inference_shard_00,heteroskedastic,9,200,-0.0478879651571192,0.498,False
inference_shard_00,heteroskedastic,10,200,-0.0398470111179099,0.577,False
inference_shard_00,heteroskedastic,11,200,0.0069556738918472,0.914,False
inference_shard_00,heteroskedastic,12,200,-0.148884777951251,0.035,True
inference_shard_00,heteroskedastic,13,200,-0.0479726993174829,0.492,False
inference_shard_00,heteroskedastic,14,200,-0.0226123322675558,0.761,False
inference_shard_00,heteroskedastic,15,200,-0.0978069818521713,0.153,False
inference_shard_00,heteroskedastic,16,200,-0.101279569969095,0.146,False
inference_shard_00,heteroskedastic,17,200,-0.0186942383869791,0.792,False
inference_shard_00,heteroskedastic,18,200,0.1190549763744093,0.095,False
inference_shard_00,heteroskedastic,19,200,0.013564839120978,0.838,False
inference_shard_00,heteroskedastic,20,200,0.0237073604645319,0.716,False
inference_shard_00,heteroskedastic,21,200,-0.0752419374799112,0.314,False
inference_shard_00,heteroskedastic,22,200,-0.0092822320558013,0.906,False
inference_shard_00,heteroskedastic,23,200,-0.0276486912172804,0.692,False
inference_shard_00,heteroskedastic,24,200,-0.0224540613515337,0.736,False
inference_shard_00,heteroskedastic,25,200,-0.1895523098898767,0.01,True
inference_shard_00,heteroskedastic,26,200,-0.0421555538888472,0.535,False
inference_shard_00,heteroskedastic,27,200,0.0307050406547968,0.662,False
inference_shard_00,heteroskedastic,28,200,-0.0297487660307336,0.663,False
inference_shard_00,heteroskedastic,29,200,-0.0379284482112052,0.575,False
inference_shard_00,heteroskedastic,30,200,0.0752523813095327,0.288,False
inference_shard_00,heteroskedastic,31,200,-0.0554878871971799,0.428,False
inference_shard_00,heteroskedastic,32,200,0.0171446914758055,0.804,False
inference_shard_00,heteroskedastic,33,200,-0.0120490557447903,0.85,False
inference_shard_00,heteroskedastic,34,200,0.0687819953431366,0.334,False
inference_shard_00,heteroskedastic,35,200,-0.0541633743956291,0.485,False
inference_shard_00,heteroskedastic,36,200,-0.0135026027555055,0.861,False
inference_shard_00,heteroskedastic,37,200,-0.1142909429918141,0.107,False
inference_shard_00,heteroskedastic,38,200,-0.0139518487962199,0.832,False
inference_shard_00,heteroskedastic,39,200,0.0462986574664366,0.508,False
inference_shard_00,heteroskedastic,40,200,0.0354323858096452,0.632,False
inference_shard_00,heteroskedastic,41,200,0.0811820295507387,0.257,False
inference_shard_00,heteroskedastic,42,200,-0.018940230608353,0.799,False
inference_shard_00,heteroskedastic,43,200,0.0509817745443636,0.471,False
inference_shard_00,heteroskedastic,44,200,0.1105122628065701,0.12,False
inference_shard_00,heteroskedastic,45,200,-0.1204170104252606,0.112,False
inference_shard_00,heteroskedastic,46,200,-0.0218615465386634,0.76,False
inference_shard_00,heteroskedastic,47,200,0.0427570689267231,0.527,False
inference_shard_00,heteroskedastic,48,200,-7.95020173636962e-05,1.0,False
inference_shard_00,heteroskedastic,49,200,-0.0566309157728943,0.428,False
inference_shard_00,heteroskedastic,50,200,-0.039633255693866,0.596,False
inference_shard_00,heteroskedastic,51,200,0.0422065551638791,0.566,False
inference_shard_00,heteroskedastic,52,200,0.0563706804060192,0.445,False
inference_shard_00,heteroskedastic,53,200,0.0231605876999145,0.776,False
inference_shard_00,heteroskedastic,54,200,0.0497915134596575,0.444,False
inference_shard_00,heteroskedastic,55,200,0.0730556037859512,0.327,False
inference_shard_00,heteroskedastic,56,200,-0.0338183581408402,0.623,False
inference_shard_00,heteroskedastic,57,200,0.0438461125951101,0.533,False
inference_shard_00,heteroskedastic,58,200,-0.0278211955298882,0.718,False
inference_shard_00,heteroskedastic,59,200,-0.0499145352992979,0.489,False
inference_shard_00,heteroskedastic,60,200,0.0199324983124578,0.77,False
inference_shard_00,heteroskedastic,61,200,-0.0164929185078082,0.827,False
inference_shard_00,heteroskedastic,62,200,-0.1357459445533526,0.064,False
inference_shard_00,heteroskedastic,63,200,-0.0470996774919373,0.527,False
inference_shard_00,heteroskedastic,64,200,0.0669556990008668,0.362,False
inference_shard_00,heteroskedastic,65,200,-0.0848181204530113,0.258,False
inference_shard_00,heteroskedastic,66,200,-0.0125868146703667,0.851,False
inference_shard_00,heteroskedastic,67,200,0.0810245559981141,0.227,False
inference_shard_00,heteroskedastic,68,200,0.0038610965274131,0.963,False
inference_shard_00,heteroskedastic,69,200,0.0548233911435541,0.453,False
inference_shard_00,heteroskedastic,70,200,-0.0883117077926948,0.21,False
inference_shard_00,heteroskedastic,71,200,-0.0768034200855021,0.26,False
inference_shard_00,heteroskedastic,72,200,0.0228935723393084,0.773,False
inference_shard_00,heteroskedastic,73,200,-0.0721128028200705,0.333,False
inference_shard_00,heteroskedastic,74,200,0.052387309682742,0.46,False
inference_shard_00,heteroskedastic,75,200,-0.0184639892957371,0.82,False
inference_shard_00,heteroskedastic,76,200,0.016004662120054,0.831,False
inference_shard_00,heteroskedastic,77,200,0.1370030278280051,0.061,False
inference_shard_00,heteroskedastic,78,200,0.0079764524024802,0.91,False
inference_shard_00,heteroskedastic,79,200,-0.0095807395184879,0.895,False
inference_shard_00,heteroskedastic,80,200,-0.0622695800905991,0.376,False
inference_shard_00,heteroskedastic,81,200,-0.0835565889147228,0.274,False
inference_shard_00,heteroskedastic,82,200,-0.1080657421682151,0.126,False
inference_shard_00,heteroskedastic,83,200,0.1090572264306607,0.123,False
inference_shard_00,heteroskedastic,84,200,-0.0191569789244731,0.8,False
inference_shard_00,heteroskedastic,85,200,0.0672571814295357,0.355,False
inference_shard_00,heteroskedastic,86,200,-0.0400510162945412,0.548,False
inference_shard_00,heteroskedastic,87,200,-0.0530308854318856,0.453,False
inference_shard_00,heteroskedastic,88,200,-0.0158276694332577,0.833,False
inference_shard_00,heteroskedastic,89,200,0.0267996800418829,0.69,False
inference_shard_00,heteroskedastic,90,200,-0.0132648316207905,0.871,False
inference_shard_00,heteroskedastic,91,200,-0.0504237795034084,0.484,False
inference_shard_00,heteroskedastic,92,200,0.06178956791029,0.372,False
inference_shard_00,heteroskedastic,93,200,-0.0156956482770761,0.829,False
inference_shard_00,heteroskedastic,94,200,-0.0101110103585167,0.895,False
inference_shard_00,heteroskedastic,95,200,0.0142751175842777,0.825,False
inference_shard_00,heteroskedastic,96,200,0.0424210605265131,0.553,False
inference_shard_00,heteroskedastic,97,200,-0.001210530717217,0.982,False
inference_shard_00,heteroskedastic,98,200,-0.0775212171008893,0.264,False
inference_shard_00,heteroskedastic,99,200,-0.0197412583374021,0.801,False
inference_shard_00,heteroskedastic,100,200,-0.0452591314782869,0.531,False
inference_shard_00,heteroskedastic,101,200,-0.0386034795632966,0.603,False
inference_shard_00,heteroskedastic,102,200,-0.0853086327158179,0.252,False
inference_shard_00,heteroskedastic,103,200,0.0469046726168154,0.532,False
