scope,baseline,candidate_id,scenario,icc,beta,planned_repetitions,estimated_repetitions,estimability_rate,predictive_support_count,predictive_support_rate,predictive_wilson_95_low,predictive_wilson_95_high,joint_support_count,joint_support_rate,joint_wilson_95_low,joint_wilson_95_high
image,B2_training_state,additive_d6,interaction_proxy_null,0.8,0.0,100,100,1.0,33,0.33,0.24563122734128034,0.4269465620490947,26,0.26,0.18404698464748132,0.3537098944918718
image,B2_training_state,additive_d6,nonlinear_proxy_null,0.3,0.0,100,100,1.0,12,0.12,0.06999406437019488,0.19812099426711421,4,0.04,0.01566330399154762,0.0983707143588792
image,B2_training_state,additive_d6,nonlinear_proxy_null,0.8,0.0,100,100,1.0,7,0.07,0.03431926106727268,0.137495147390735,2,0.02,0.00550196755016235,0.07001179072854388
image,B2_training_state,extra_trees,additive_proxy_null,0.3,0.0,100,0,0.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B2_training_state,extra_trees,additive_proxy_null,0.8,0.0,100,0,0.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B2_training_state,extra_trees,heteroskedastic_proxy_null,0.3,0.0,100,0,0.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B2_training_state,extra_trees,heteroskedastic_proxy_null,0.8,0.0,100,0,0.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B2_training_state,extra_trees,independent_null,0.3,0.0,100,0,0.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B2_training_state,extra_trees,independent_null,0.8,0.0,100,0,0.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B2_training_state,extra_trees,interaction_increment,0.3,0.2,100,0,0.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B2_training_state,extra_trees,interaction_increment,0.3,0.35,100,0,0.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B2_training_state,extra_trees,interaction_increment,0.3,0.5,100,0,0.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B2_training_state,extra_trees,interaction_increment,0.8,0.2,100,0,0.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B2_training_state,extra_trees,interaction_increment,0.8,0.35,100,0,0.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B2_training_state,extra_trees,interaction_increment,0.8,0.5,100,0,0.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B2_training_state,extra_trees,interaction_proxy_null,0.3,0.0,100,0,0.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B2_training_state,extra_trees,interaction_proxy_null,0.8,0.0,100,0,0.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B2_training_state,extra_trees,nonlinear_proxy_null,0.3,0.0,100,0,0.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B2_training_state,extra_trees,nonlinear_proxy_null,0.8,0.0,100,0,0.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B2_training_state,interactions_d4,additive_proxy_null,0.3,0.0,100,100,1.0,8,0.08,0.041093461484380624,0.14998107700948735,1,0.01,0.0017674320641406505,0.054486196178705315
