reliability_tier,quantile,source_metric,icc,baseline,beta,repetition,csv,refit_bootstrap,permutations,simulation_seed,analysis_seed,nuisance_model,status,delta_mse,residual_p,refit_delta_mse_ci_low,refit_delta_mse_ci_high,predictive_supported,joint_supported
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,34,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,323669831,3054269831,polynomial_ridge_interactions,estimated,-0.0007493523986867084,0.31,-0.020133047192717437,0.00048179278051402026,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,35,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,323769834,3055269834,polynomial_ridge,estimated,-8.678290689308329e-05,0.99,-0.0021038585079796606,0.0010867032511714411,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,35,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,323769834,3055269834,polynomial_ridge_interactions,estimated,-0.00042706988701730984,0.82,-0.012587024630071265,0.0008180529379217418,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,36,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,323869837,3056269837,polynomial_ridge,estimated,-0.0003732815088847443,0.85,-0.001901683380338326,0.0009910962564869267,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,36,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,323869837,3056269837,polynomial_ridge_interactions,estimated,-0.001091215674102359,0.18,-0.016861186642049525,0.0012704453361580231,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,37,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,323969840,3057269840,polynomial_ridge,estimated,-0.0004419606703818101,0.91,-0.002206414093324048,0.0010295553138946697,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,37,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,323969840,3057269840,polynomial_ridge_interactions,estimated,-0.0008909173470520253,0.36,-0.020393644772155228,0.0023526174899118854,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,38,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,324069843,3058269843,polynomial_ridge,estimated,-0.0007077668901115382,0.83,-0.001939333042840634,0.0009022577664718081,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,38,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,324069843,3058269843,polynomial_ridge_interactions,estimated,-0.00025131816056211563,0.7,-0.013553886648070232,0.0009387271135227167,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,39,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,324169846,3059269846,polynomial_ridge,estimated,-5.135325583292827e-06,0.62,-0.0016980194415130117,0.0012940614344513373,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,39,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,324169846,3059269846,polynomial_ridge_interactions,estimated,0.00021886515220605153,0.19,-0.026349567289802884,0.0007141231098685533,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,40,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,324269849,3060269849,polynomial_ridge,estimated,0.0001263325252236448,0.5,-0.0020975066326025422,0.0008378962770696625,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,40,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,324269849,3060269849,polynomial_ridge_interactions,estimated,-0.000839749427882287,0.47,-0.01980720367056451,0.00033776142307220147,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,41,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,324369852,3061269852,polynomial_ridge,estimated,-0.0005507019789691733,0.31,-0.0025550507561220427,0.0011505829810049932,False,False
