scope,baseline,candidate_id,scenario,icc,beta,repetition,wild_draws,status,n_groups,stable_positive,positive_split_count,maximum_orthogonal_wild_p,minimum_orthogonal_score_mean
image48,B1_design,d2_r01_repeat3_a01,independent_null,0.3,0.0,9,999,estimated,48,False,0,0.481,-0.026198164361047067
image48,B1_design,d2_r01_repeat3_a01,independent_null,0.3,0.0,10,999,estimated,48,False,0,0.572,-0.019485644387260834
image48,B1_design,d2_r01_repeat3_a01,independent_null,0.3,0.0,11,999,estimated,48,False,0,0.98,-0.006160933417701968
image48,B1_design,d2_r01_repeat3_a01,independent_null,0.3,0.0,12,999,estimated,48,False,0,0.043,-0.04393237868645331
image48,B1_design,d2_r01_repeat3_a01,independent_null,0.3,0.0,13,999,estimated,48,False,0,0.808,-0.01343734028837977
image48,B1_design,d2_r01_repeat3_a01,independent_null,0.3,0.0,14,999,estimated,48,False,0,0.911,-0.0252836578939379
image48,B1_design,d2_r01_repeat3_a01,independent_null,0.3,0.0,15,999,estimated,48,False,0,0.519,-0.01610134045892014
image48,B1_design,d2_r01_repeat3_a01,independent_null,0.3,0.0,16,999,estimated,48,False,1,0.186,0.03274820256955614
image48,B1_design,d2_r01_repeat3_a01,independent_null,0.3,0.0,17,999,estimated,48,False,0,0.934,-0.001401719132428676
image48,B1_design,d2_r01_repeat3_a01,independent_null,0.3,0.0,18,999,estimated,48,False,0,0.008,-0.06191702366878448
image48,B1_design,d2_r01_repeat3_a01,independent_null,0.3,0.0,19,999,estimated,48,False,0,0.856,-0.04258187792551114
image48,B1_design,d2_r01_repeat3_a01,independent_null,0.8,0.0,0,999,estimated,48,False,0,0.692,-0.016203096767503016
image48,B1_design,d2_r01_repeat3_a01,independent_null,0.8,0.0,1,999,estimated,48,False,0,0.176,-0.04884250937912663
image48,B1_design,d2_r01_repeat3_a01,independent_null,0.8,0.0,2,999,estimated,48,False,0,0.301,-0.07134854722407484
image48,B1_design,d2_r01_repeat3_a01,independent_null,0.8,0.0,3,999,estimated,48,False,0,0.94,-0.00856623967297567
image48,B1_design,d2_r01_repeat3_a01,independent_null,0.8,0.0,4,999,estimated,48,False,0,0.154,0.024336011011219846
image48,B1_design,d2_r01_repeat3_a01,independent_null,0.8,0.0,5,999,estimated,48,False,0,0.236,-0.02992204663971258
image48,B1_design,d2_r01_repeat3_a01,independent_null,0.8,0.0,6,999,estimated,48,False,0,0.887,-0.007930936318386058
image48,B1_design,d2_r01_repeat3_a01,independent_null,0.8,0.0,7,999,estimated,48,False,0,0.086,0.018712678599359617
image48,B1_design,d2_r01_repeat3_a01,independent_null,0.8,0.0,8,999,estimated,48,False,0,0.021,-0.045933555832518264
image48,B1_design,d2_r01_repeat3_a01,independent_null,0.8,0.0,9,999,estimated,48,False,0,0.59,-0.01090127693628364
image48,B1_design,d2_r01_repeat3_a01,independent_null,0.8,0.0,10,999,estimated,48,False,0,0.76,0.006078174134281109
image48,B1_design,d2_r01_repeat3_a01,independent_null,0.8,0.0,11,999,estimated,48,False,0,0.881,-0.017205430509839425
image48,B1_design,d2_r01_repeat3_a01,independent_null,0.8,0.0,12,999,estimated,48,False,0,0.819,-0.004638673893834361
image48,B1_design,d2_r01_repeat3_a01,independent_null,0.8,0.0,13,999,estimated,48,False,0,0.536,-0.027892353104521223
image48,B1_design,d2_r01_repeat3_a01,independent_null,0.8,0.0,14,999,estimated,48,False,0,0.981,-0.02925649148902019
image48,B1_design,d2_r01_repeat3_a01,independent_null,0.8,0.0,15,999,estimated,48,False,0,0.868,-0.00369694650270345
image48,B1_design,d2_r01_repeat3_a01,independent_null,0.8,0.0,16,999,estimated,48,False,0,0.9,-0.018509369808261966
image48,B1_design,d2_r01_repeat3_a01,independent_null,0.8,0.0,17,999,estimated,48,False,0,0.851,0.004262585998633452
image48,B1_design,d2_r01_repeat3_a01,independent_null,0.8,0.0,18,999,estimated,48,False,0,0.338,0.019119164645195093
image48,B1_design,d2_r01_repeat3_a01,independent_null,0.8,0.0,19,999,estimated,48,False,0,0.025,-0.04220962333174249
image48,B1_design,d2_r01_repeat3_a01,interaction_proxy_null,0.3,0.0,0,999,estimated,48,False,0,0.425,-0.01461609349806238
image48,B1_design,d2_r01_repeat3_a01,interaction_proxy_null,0.3,0.0,1,999,estimated,48,False,0,0.824,-0.015052604960554114
image48,B1_design,d2_r01_repeat3_a01,interaction_proxy_null,0.3,0.0,2,999,estimated,48,False,0,0.663,-0.02281870743021008
image48,B1_design,d2_r01_repeat3_a01,interaction_proxy_null,0.3,0.0,3,999,estimated,48,False,0,0.549,-0.010270907243438893
image48,B1_design,d2_r01_repeat3_a01,interaction_proxy_null,0.3,0.0,4,999,estimated,48,False,0,0.978,-0.015034281491818006
image48,B1_design,d2_r01_repeat3_a01,interaction_proxy_null,0.3,0.0,5,999,estimated,48,False,0,0.655,-0.017884094068279968
image48,B1_design,d2_r01_repeat3_a01,interaction_proxy_null,0.3,0.0,6,999,estimated,48,False,0,0.151,0.015096515042870781
image48,B1_design,d2_r01_repeat3_a01,interaction_proxy_null,0.3,0.0,7,999,estimated,48,False,0,0.666,0.005447879242906552
image48,B1_design,d2_r01_repeat3_a01,interaction_proxy_null,0.3,0.0,8,999,estimated,48,False,0,0.673,0.006573324376907156
image48,B1_design,d2_r01_repeat3_a01,interaction_proxy_null,0.3,0.0,9,999,estimated,48,False,0,0.578,0.0028624760415419622
