protocol_id,baseline,candidate_id,scenario,reliability,beta,repetition,wild_draws,status,n_groups,orthogonal_wild_p,orthogonal_score_mean,positive_supported,supported
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,independent_null,0.8,0.0,2,999,estimated,240,0.884,0.0007568699771686653,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,independent_null,0.8,0.0,3,999,estimated,240,0.29,-0.00554612856420504,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,independent_null,0.8,0.0,4,999,estimated,240,0.04,0.011052088428265527,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,independent_null,0.8,0.0,5,999,estimated,240,0.79,0.001416910872978889,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,independent_null,0.8,0.0,6,999,estimated,240,0.677,-0.002358740499007985,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,independent_null,0.8,0.0,7,999,estimated,240,0.265,-0.005495219638875845,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,independent_null,0.8,0.0,8,999,estimated,240,0.506,0.003831385511297285,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,independent_null,0.8,0.0,9,999,estimated,240,0.137,-0.007575212404919304,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,independent_null,0.8,0.0,10,999,estimated,240,0.726,0.0020646890735026855,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,independent_null,0.8,0.0,11,999,estimated,240,0.998,-1.4708688608616275e-05,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,independent_null,0.8,0.0,12,999,estimated,240,0.553,-0.002955404648384311,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,independent_null,0.8,0.0,13,999,estimated,240,0.248,-0.007007179379004803,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,independent_null,0.8,0.0,14,999,estimated,240,0.159,0.008024852382761601,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,independent_null,0.8,0.0,15,999,estimated,240,0.461,-0.004118827038465597,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,independent_null,0.8,0.0,16,999,estimated,240,0.078,-0.009725177540501506,False,False
